YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,State,District,Latitude,Longitude
2001,110,22,6,35,0,35,57,37,20,14,0,29,114,325,18,307,21,13,12,1,20,351,3,41,0,19,0,108,264,1565,Assam,Dibrugarh,27.30612284482757,95.0998282327587
2001,28,12,0,35,0,35,43,35,8,37,0,13,61,116,1,115,129,8,16,2,4,51,1,54,0,64,0,99,100,873,Assam,Goalpara,26.017277777777807,90.59869891598912
2001,53,2,0,30,0,30,44,40,4,13,1,27,95,211,27,184,26,3,20,0,21,135,0,23,0,26,0,73,363,1166,Assam,Golaghat,26.377219709794485,93.82583397823468
2001,18,4,0,24,0,24,36,34,2,6,0,8,93,92,1,91,160,6,14,0,19,60,2,27,0,28,0,26,197,820,Assam,Hailakandi,24.457496089385486,92.59154664804475
2001,40,22,2,42,0,42,37,28,9,6,0,27,43,230,27,203,30,21,23,5,13,134,2,44,0,48,0,58,363,1190,Assam,Jorhat,26.76244824016563,94.30197722567289
2001,37,30,8,21,0,21,95,65,30,30,1,41,196,275,40,235,55,26,50,1,6,404,2,42,0,27,0,52,612,2011,Assam,Kamrup,26.170939452054807,91.58863273972592
2001,65,26,3,5,0,5,38,15,23,12,0,33,13,79,3,76,90,3,11,1,24,66,4,5,0,8,0,35,200,721,Assam,Karbi Anglong,26.08966454598031,93.11536570271832
2001,32,20,0,33,0,33,42,8,34,8,0,5,57,114,9,105,271,9,8,2,17,68,1,9,0,30,0,20,97,843,Assam,Karimganj,24.69660712250711,92.3679498575498
2001,87,27,1,14,0,14,41,12,29,14,0,10,42,89,0,89,50,3,10,2,6,156,0,37,0,20,0,50,117,776,Assam,Kokrajhar,26.497246635730868,90.13997470997688
2001,26,21,1,64,0,64,72,62,10,15,0,47,124,195,0,195,106,25,71,0,0,386,0,22,0,93,0,89,422,1779,Assam,Lakhimpur,27.14128805970149,94.0775949253732
2001,95,22,3,51,0,51,119,109,10,59,2,33,288,491,36,455,267,32,35,6,41,513,1,113,4,132,0,194,701,3202,Assam,Nagaon,26.26462170626351,92.9306191144708
