YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,State,District,Latitude,Longitude
2001,34,54,6,42,0,42,223,223,0,2,0,49,365,787,233,554,257,41,354,2,37,491,5,126,3,312,0,172,2973,6335,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417
2001,21,101,0,35,0,35,36,34,2,1,1,4,158,431,91,340,108,33,195,1,26,961,13,53,0,153,0,102,1519,3952,Rajasthan,Bikaner,28.12489068322981,73.26943322981371
2001,33,72,4,36,0,36,120,103,17,4,0,33,222,391,67,324,229,24,106,0,39,1067,2,164,6,157,0,76,1293,4078,Rajasthan,Bundi,25.48580716049379,75.79984074074079
2001,26,40,1,24,0,24,26,14,12,0,1,11,129,210,24,186,198,9,143,3,24,819,8,73,3,174,0,65,893,2880,Rajasthan,Churu,28.29330375536484,74.65846427038629
2001,28,21,0,9,0,9,40,26,14,3,3,14,148,380,102,278,717,17,102,0,18,138,8,31,0,60,0,140,1669,3546,Rajasthan,Dausa,26.91234817629181,76.57342097264443
2001,31,9,1,17,0,17,54,50,4,0,0,8,79,74,28,46,207,16,40,0,25,340,3,56,0,60,0,80,897,1997,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645
2001,51,97,0,55,0,55,79,65,14,2,1,14,253,408,93,315,36,56,396,2,11,1107,13,118,2,375,0,135,2399,5610,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948
2001,56,83,0,35,0,35,49,22,27,2,0,12,196,348,82,266,135,29,290,0,25,748,20,98,0,241,0,91,1498,3956,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902
2001,91,90,6,61,0,61,247,203,44,7,5,79,1110,3207,1036,2171,3181,217,1103,25,63,1528,29,179,1,453,0,749,8173,20604,Rajasthan,Jaipur,27.033459290187885,75.77117286012533
2001,9,0,0,2,0,2,8,7,1,0,0,4,51,142,4,138,28,6,30,5,6,413,3,21,0,16,0,27,249,1020,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682
2001,38,99,8,65,0,65,89,57,32,2,3,45,220,383,67,316,206,19,95,1,55,1046,8,144,10,224,0,61,712,3533,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065
2001,30,79,3,20,0,20,78,53,25,1,0,43,319,831,269,562,172,81,450,1,37,2733,12,128,3,263,1,193,1057,6535,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628
2001,35,0,1,21,0,21,72,50,22,0,0,12,68,298,66,232,134,14,63,1,15,22,10,37,0,66,0,60,1979,2908,Rajasthan,Karauli,26.51901555555556,76.96081818181815
2001,58,310,1,50,0,50,146,116,30,2,2,86,456,1213,444,769,229,43,308,4,43,1175,17,203,6,319,0,119,2593,7383,Rajasthan,Kota,25.175718080000014,76.18618928000001
2001,48,17,1,22,0,22,59,34,25,2,1,23,274,407,87,320,57,18,164,5,27,523,14,65,0,102,0,91,2655,4575,Rajasthan,Nagaur,27.07862016048146,74.14215667001012
2001,43,53,2,25,0,25,77,61,16,0,0,14,193,294,70,224,138,66,185,2,36,53,15,115,2,196,0,132,2999,4640,Rajasthan,Pali,25.80490393541874,73.55285640766907
2001,15,16,2,13,0,13,63,63,0,2,2,7,81,191,68,123,303,17,118,1,27,1043,6,40,1,104,0,99,721,2872,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844
2001,23,19,1,19,0,19,62,42,20,1,2,31,102,310,85,225,180,10,125,1,19,31,6,49,0,97,0,44,1962,3094,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548
2001,46,31,2,13,0,13,48,22,26,0,0,14,212,379,72,307,941,21,207,0,64,522,15,28,0,114,0,159,1517,4333,Rajasthan,Sikar,27.64644058641976,75.29317422839503
2001,31,35,0,22,0,22,24,19,5,0,0,16,157,122,20,102,104,33,73,3,14,536,8,29,0,79,0,101,798,2185,Rajasthan,Sirohi,24.7976905263158,72.75309131578943
2001,19,32,1,17,0,17,68,50,18,1,1,19,145,298,73,225,175,17,117,0,32,1524,7,84,6,142,0,88,1120,3913,Rajasthan,Tonk,26.153935071707927,75.79192216427637
2001,67,101,1,43,0,43,161,118,43,0,0,42,298,545,170,375,435,29,231,5,51,990,9,68,2,127,0,234,2926,6365,Rajasthan,Udaipur,24.44076752136749,73.84029839743584
2001,13,7,5,7,0,7,4,1,3,0,0,2,59,50,4,46,1,1,10,0,1,21,0,0,8,0,0,3,87,279,Sikkim,East,27.29600352941175,88.74908392156858
2001,24,41,1,6,0,6,25,14,11,0,0,3,37,124,45,79,101,4,22,0,17,495,3,38,4,8,0,60,741,1754,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912
2001,91,298,0,28,0,28,40,0,40,12,0,127,668,2167,433,1734,105,26,600,0,0,813,13,70,209,111,0,675,1239,7292,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806
2001,60,177,2,16,0,16,21,2,19,4,0,33,166,547,159,388,250,12,11,0,50,767,9,137,50,21,0,343,5342,8018,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497
2001,88,88,0,17,0,17,35,30,5,7,0,22,214,427,185,242,433,6,33,0,74,841,6,65,8,18,0,370,2371,5123,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339
2001,72,74,0,14,0,14,49,35,14,4,0,13,168,479,173,306,69,7,24,3,29,467,8,48,11,8,5,317,2788,4657,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937
2001,63,22,0,9,0,9,45,14,31,10,0,13,218,662,267,395,63,49,85,2,39,2767,4,72,16,25,0,479,1988,6631,Tamil Nadu,Erode,11.267012155963302,77.42034334862392
2001,28,12,0,4,0,4,11,8,3,4,0,9,39,226,110,116,30,7,15,4,14,194,2,21,2,14,0,192,1417,2245,Tamil Nadu,Karur,10.79532776617955,78.08749686847604
2001,36,74,0,12,0,12,29,25,4,1,0,2,94,318,94,224,51,1,15,4,75,1273,4,55,13,8,0,137,1522,3724,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483
2001,36,31,0,7,0,7,16,16,0,1,0,6,58,153,71,82,56,0,15,2,10,1544,4,39,13,18,0,297,353,2659,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633
2001,16,15,0,8,0,8,5,5,0,0,0,5,109,102,12,90,39,0,10,3,0,206,2,6,5,16,0,31,752,1330,Tamil Nadu,Nilgiris,11.442361661341858,76.6614642172524
2001,10,16,2,3,0,3,13,11,2,3,0,2,31,47,20,27,56,2,27,0,10,340,0,18,0,12,0,79,420,1100,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416
2001,49,74,1,0,0,0,55,34,21,3,0,16,171,435,95,340,150,6,33,3,26,792,0,53,46,31,0,299,1263,3506,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745
2001,16,17,0,4,0,4,18,7,11,5,0,9,83,240,27,213,69,4,58,5,9,842,4,29,8,9,0,120,1097,2646,Tamil Nadu,Theni,9.924066666666668,77.43458833333332
2001,34,56,3,16,0,16,24,11,13,2,0,11,106,226,30,196,201,5,28,0,28,329,6,70,17,16,0,196,2094,3468,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492
2001,31,56,0,7,0,7,30,26,4,0,0,6,96,182,41,141,59,1,15,2,49,890,4,50,18,2,0,138,1407,3043,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727
2001,78,56,2,13,0,13,16,0,16,10,0,25,309,744,225,519,440,15,55,9,50,2270,8,54,16,5,0,342,3424,7941,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084
2001,67,92,3,37,0,37,53,37,16,8,0,7,147,339,72,267,483,9,26,3,74,757,14,78,20,42,0,558,4303,7120,Tamil Nadu,Villupuram,12.065571352676752,79.6898910093992
2001,57,53,0,17,0,17,22,19,3,6,0,19,131,509,63,446,199,14,55,2,17,508,2,81,10,20,0,212,2578,4503,Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315
2001,35,0,0,11,0,11,15,0,15,1,0,4,11,7,0,7,15,0,1,1,6,34,2,4,0,11,0,16,31,205,Tripura,Dhalai,23.781360477941163,91.94654283088232
2001,153,162,18,66,0,66,203,132,71,50,3,171,432,1181,509,672,377,148,229,4,14,518,63,110,114,327,0,234,2085,6662,Uttar Pradesh,Agra,26.99512974910393,78.05278291517321
2001,229,242,21,50,0,50,123,78,45,39,4,182,190,727,219,508,366,120,145,3,32,446,44,90,54,258,0,189,1134,4688,Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557
2001,167,224,30,42,0,42,96,75,21,13,0,81,368,850,176,674,260,136,25,3,38,1024,56,85,105,226,0,215,2052,6096,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063
2001,46,49,7,19,0,19,29,29,0,4,0,22,95,116,9,107,64,16,43,2,13,244,14,15,9,87,0,38,447,1379,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147
2001,53,53,11,11,0,11,61,25,36,9,0,24,36,82,10,72,44,8,14,1,13,247,21,13,7,26,0,82,321,1137,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607
2001,120,103,21,11,0,11,45,41,4,7,0,80,145,187,32,155,127,44,72,2,2,352,32,14,15,81,0,25,762,2247,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285
2001,239,272,30,47,0,47,82,41,41,26,0,67,118,306,14,292,64,39,64,1,38,616,62,51,14,76,0,7,845,3064,Uttar Pradesh,Badaun,28.085956727272716,78.99710800000005
2001,89,160,6,15,0,15,31,17,14,17,0,54,45,218,34,184,55,26,43,3,5,3,20,18,12,64,0,21,450,1355,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001
2001,43,49,23,14,0,14,28,19,9,5,1,20,79,169,22,147,50,32,37,2,14,175,19,15,17,62,0,54,408,1316,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004
2001,55,91,13,18,0,18,24,17,7,9,1,14,125,178,17,161,119,12,14,5,2,289,19,7,22,35,0,10,872,1934,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408
2001,26,28,9,8,0,8,20,19,1,3,0,4,38,81,10,71,25,19,22,0,15,126,12,23,11,30,0,35,199,734,Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256
2001,75,53,14,27,0,27,29,18,11,7,0,31,87,108,12,96,72,20,55,0,13,247,21,51,18,50,0,70,674,1722,Uttar Pradesh,Banda,25.351885902503284,80.52487391304344
2001,272,331,28,93,0,93,144,98,46,47,0,138,210,784,144,640,143,81,186,3,15,617,57,110,40,421,0,234,1315,5269,Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416
2001,48,51,13,18,0,18,28,23,5,4,0,28,101,171,31,140,106,37,69,2,5,240,22,28,12,48,0,32,690,1753,Uttar Pradesh,Basti,26.833880454545447,82.69790590909092
2001,124,113,14,38,0,38,85,59,26,13,0,56,132,352,40,312,80,58,119,3,11,43,31,67,38,230,0,78,802,2487,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754
2001,48,97,17,7,0,7,39,33,6,2,0,26,87,163,23,140,196,39,54,1,8,192,27,15,15,44,0,46,1279,2402,Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071
2001,240,364,12,57,0,57,118,59,59,32,0,79,136,350,51,299,259,100,121,2,5,404,68,68,24,156,0,13,1913,4521,Uttar Pradesh,Etah,27.591155309734443,78.70021858407083
2001,82,92,8,20,0,20,93,22,71,14,2,32,48,166,44,122,90,45,37,1,11,200,29,25,26,52,0,118,751,1942,Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728
2001,77,48,15,22,0,22,28,26,2,6,1,44,99,245,38,207,52,104,2,0,13,179,17,24,18,49,0,149,775,1967,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202
2001,132,56,26,28,0,28,45,27,18,11,0,36,70,132,16,116,22,31,48,0,7,265,46,25,15,59,0,163,729,1946,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509
2001,135,169,10,22,0,22,120,59,61,22,0,72,105,292,89,203,147,42,69,1,3,359,48,33,69,89,0,178,741,2726,Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998
2001,230,381,18,31,0,31,112,79,33,10,2,117,227,1357,656,701,123,83,258,14,10,134,33,54,138,140,0,138,1469,5079,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343
2001,46,58,24,6,0,6,28,19,9,2,0,17,92,107,11,96,70,14,32,4,8,211,22,18,29,56,0,24,440,1308,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097
2001,68,101,25,18,0,18,34,21,13,15,1,32,118,161,23,138,64,39,89,2,9,262,26,19,13,46,0,72,505,1719,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882
2001,96,74,29,13,0,13,60,52,8,6,0,38,137,192,51,141,117,65,100,1,12,378,16,25,36,52,0,136,1015,2598,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358
2001,66,33,6,14,0,14,24,16,8,4,0,31,60,110,9,101,55,14,18,0,7,65,22,32,7,25,0,49,389,1031,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594
2001,66,33,6,14,0,14,24,16,8,4,0,31,60,110,9,101,55,14,18,0,7,65,22,32,7,25,0,49,389,1031,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789
2001,182,153,30,70,0,70,75,60,15,24,1,50,89,267,25,242,92,48,51,1,12,482,63,86,21,136,0,141,1004,3078,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768
2001,86,94,15,16,0,16,50,26,24,24,0,64,91,225,16,209,150,50,78,3,9,215,31,63,26,93,0,76,757,2216,Uttar Pradesh,Hathras,27.57814661246612,78.18251084010846
2001,83,79,4,6,0,6,36,14,22,9,0,41,92,167,32,135,75,24,34,0,5,29,29,40,21,65,0,37,902,1778,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993
2001,56,85,29,11,0,11,22,15,7,9,1,33,101,165,26,139,112,43,70,1,7,410,43,21,19,85,0,128,542,1993,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063
2001,76,48,19,18,0,18,42,20,22,2,0,35,100,258,82,176,60,29,62,1,12,232,31,32,30,69,0,35,790,1981,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917
2001,66,68,8,8,0,8,40,19,21,6,0,13,52,106,15,91,39,26,30,1,7,77,22,18,7,63,0,54,543,1254,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408
2001,85,67,12,21,0,21,50,34,16,14,1,30,48,140,8,132,72,22,40,0,12,312,39,45,7,79,0,103,382,1581,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478
2001,77,45,11,26,0,26,31,23,8,3,2,18,116,144,10,134,60,15,30,0,17,281,28,44,9,72,0,102,325,1456,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287
2001,25,18,7,20,0,20,5,5,0,2,0,6,46,60,8,52,30,12,21,0,14,89,10,26,9,31,0,70,272,773,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473
2001,166,189,28,62,0,62,175,138,37,28,1,123,670,2202,697,1505,347,268,427,3,10,89,47,103,148,337,0,337,3445,9205,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404
2001,39,22,11,13,0,13,19,13,6,1,0,7,45,54,7,47,50,23,35,11,5,94,7,13,37,10,0,70,295,861,Uttar Pradesh,Maharajganj,27.177099107142883,83.46127857142869
2001,56,36,5,12,0,12,13,7,6,3,0,19,40,60,8,52,24,3,19,0,9,58,11,22,3,4,0,26,305,728,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216
2001,136,151,20,13,0,13,56,31,25,38,0,72,88,191,26,165,120,41,83,6,29,272,42,32,3,63,0,5,686,2147,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807
2001,125,170,9,25,0,25,62,33,29,21,0,97,108,372,144,228,170,68,127,1,19,125,21,48,50,77,0,214,1081,2990,Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502
2001,49,49,9,17,0,17,30,25,5,4,0,27,79,117,12,105,122,27,34,2,21,133,16,33,27,39,0,68,428,1331,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433
2001,275,239,10,28,0,28,160,96,64,35,0,210,268,1202,434,768,195,98,193,5,5,76,34,59,123,236,0,238,1688,5377,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593
2001,44,67,8,16,0,16,14,6,8,7,0,18,77,157,24,133,28,16,34,0,2,191,23,16,21,39,0,118,289,1185,Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429
2001,213,171,18,44,0,44,102,72,30,20,0,101,160,607,160,447,97,40,104,2,21,246,45,79,85,207,0,238,845,3445,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597
2001,324,255,12,54,0,54,142,67,75,23,5,150,185,637,189,448,186,74,94,10,18,110,24,51,33,265,0,116,1274,4042,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423
2001,115,233,12,64,0,64,66,47,19,21,0,62,92,192,25,167,84,41,69,0,5,21,44,50,20,195,0,49,804,2239,Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037
2001,76,123,22,18,0,18,43,35,8,6,0,44,129,139,17,122,101,29,59,1,22,519,33,21,9,44,0,100,883,2421,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492
2001,89,98,26,22,0,22,44,27,17,11,0,35,71,266,31,235,51,34,45,0,9,138,18,11,0,49,0,62,565,1644,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337
2001,101,128,14,41,0,41,75,52,23,13,0,65,79,428,133,295,161,61,161,3,7,53,21,45,96,196,0,47,1074,2869,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095
2001,196,223,37,55,0,55,112,68,44,15,0,70,83,340,54,286,61,43,81,0,7,467,66,61,21,146,0,67,790,2941,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675
2001,162,139,56,85,0,85,99,47,52,5,0,95,237,826,42,784,124,57,134,0,18,291,82,71,35,106,0,165,1945,4732,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547
2001,33,23,20,5,0,5,9,6,3,2,0,10,54,91,14,77,21,11,18,1,5,109,12,9,4,5,0,57,96,595,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639
2001,103,154,25,29,0,29,47,35,12,8,0,42,157,295,39,256,76,47,62,0,3,352,38,34,17,153,0,123,775,2540,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123
2001,147,141,15,53,0,53,97,79,18,9,1,74,85,361,28,333,147,34,60,0,23,463,63,100,12,168,0,162,1333,3548,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868
2001,78,89,17,27,0,27,55,35,20,9,0,95,161,535,237,298,85,86,99,10,9,324,31,19,90,119,0,179,787,2904,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672
2001,18,12,2,4,0,4,1,1,0,7,0,7,12,55,5,50,4,5,11,0,2,28,3,5,0,5,0,0,70,251,Uttaranchal,Almora,29.683532133676103,79.50165064267351
2001,10,7,0,1,0,1,4,4,0,0,0,4,2,13,0,13,2,0,4,0,0,11,8,1,0,0,0,0,48,115,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357
2001,13,6,2,3,0,3,3,3,0,0,0,6,39,26,1,25,22,5,3,1,2,7,3,10,0,1,0,22,39,213,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402
2001,3,3,2,0,0,0,3,3,0,1,0,4,8,13,2,11,1,0,6,0,1,29,0,7,0,5,0,4,37,127,Uttaranchal,Champawat,29.29142393939393,80.07720212121217
2001,94,75,6,13,0,13,52,23,29,5,1,43,62,349,107,242,137,50,86,1,7,271,10,21,33,105,0,121,301,1843,Uttaranchal,Haridwar,29.886057657657645,77.92980067567574
2001,26,9,0,7,0,7,7,7,0,2,0,18,32,81,12,69,19,6,10,0,5,63,5,4,1,7,0,26,68,396,Uttaranchal,Pauri Garhwal,29.97806755102041,78.77450163265311
2001,8,3,3,7,0,7,1,0,1,1,0,6,28,41,4,37,14,4,8,0,1,14,2,6,4,10,0,0,203,364,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236
2001,5,2,0,2,0,2,0,0,0,0,0,1,3,20,0,20,10,2,1,0,0,6,3,3,1,2,0,10,35,106,Uttaranchal,Rudra Prayag,30.55657755905512,79.09422047244097
2001,7,10,2,2,0,2,5,5,0,0,0,7,26,37,4,33,11,5,4,0,2,16,2,3,0,8,0,21,146,314,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917
2001,10,11,0,8,0,8,3,3,0,0,0,6,18,43,1,42,31,9,4,0,3,11,1,12,1,13,0,0,128,312,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617
2001,35,32,12,26,0,26,7,5,2,10,21,30,6,235,15,220,66,0,23,0,6,30,22,28,0,78,0,96,417,1180,West Bengal,Bankura,23.081280892857155,87.12640053571437
2001,76,40,25,43,0,43,43,28,15,7,28,30,18,350,44,306,282,20,4,0,9,60,4,43,0,151,0,173,807,2213,West Bengal,Birbhum,24.06389342723,87.65153089201888
2001,25,0,19,10,0,10,31,28,3,3,13,7,2,126,9,117,41,5,3,2,0,45,4,37,0,101,0,18,519,1011,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614
2001,152,30,60,54,0,54,33,24,9,36,8,58,27,486,51,435,84,6,12,7,4,319,2,47,0,150,0,215,531,2321,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003
2001,65,152,8,19,0,19,121,78,43,26,60,149,148,4040,1061,2979,275,271,863,54,0,1346,6,165,37,207,2,445,3511,11970,West Bengal,Kolkata,22.550581481481483,88.3527648148148
2001,130,10,38,66,0,66,52,46,6,21,0,31,10,378,23,355,109,2,18,4,0,179,12,36,2,240,0,213,1132,2683,West Bengal,Murshidabad,24.25950655391121,88.16816860465121
2001,124,0,34,71,0,71,91,90,1,28,14,23,10,678,2,676,227,0,0,0,5,499,10,77,7,252,0,135,1338,3623,West Bengal,Nadia,23.56410971055088,88.58293034547152
2001,36,51,21,31,0,31,41,18,23,19,16,7,8,274,27,247,44,13,19,6,9,52,4,31,0,74,0,148,636,1540,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337
2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397,Chandigarh,Chandigarh,30.7426,76.75872465753424
2001,6,5,0,0,0,0,5,3,2,0,0,0,39,34,20,14,14,4,7,1,3,18,0,0,0,4,0,0,54,194,Daman and Diu,Daman,20.431616666666677,72.8392366071429
2001,56,51,15,24,0,24,163,39,124,4,15,47,270,1651,835,816,20,41,143,6,4,257,11,56,11,27,0,23,1552,4447,Sikkim,East,27.29600352941175,88.74908392156858
2002,100,79,17,37,0,37,42,32,10,7,0,40,193,226,32,194,80,25,135,0,38,1181,20,174,63,240,0,225,1753,4675,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176
2002,166,113,7,28,0,28,65,49,16,13,0,21,196,356,59,297,135,37,109,5,57,1752,9,179,37,151,0,312,719,4467,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577
2002,105,66,5,28,0,28,67,39,28,4,0,14,208,832,200,632,71,57,172,1,43,999,16,126,40,188,0,476,2788,6306,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037
2002,91,0,9,16,0,16,27,22,5,1,0,11,84,205,47,158,92,14,52,3,20,788,21,100,36,63,0,275,1416,3324,Andhra Pradesh,Cuddapah,14.490289134125629,78.69613870967754
2002,97,102,2,25,0,25,55,5,50,3,0,12,468,1206,213,993,100,89,262,13,40,3076,11,108,73,276,0,473,1440,7931,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511
2002,143,77,1,46,0,46,87,71,16,12,0,53,357,1182,150,1032,144,65,346,10,38,1760,13,186,85,434,0,404,2440,7883,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885
2002,160,88,6,99,0,99,62,42,20,18,0,60,216,404,94,310,191,44,357,2,52,2671,45,357,125,209,0,416,1504,7086,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413
2002,106,55,1,48,0,48,70,55,15,5,0,11,164,431,79,352,107,76,219,1,52,2204,13,191,375,324,0,276,917,5646,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335
2002,92,66,3,41,0,41,26,21,5,1,0,4,242,543,32,511,49,19,146,3,42,1940,14,211,110,374,0,278,1114,5318,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413
2002,124,98,1,45,0,45,54,24,30,8,0,17,134,308,16,292,76,12,185,8,16,1458,11,166,115,167,0,520,1161,4684,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717
2002,103,50,20,68,0,68,46,38,8,18,0,35,272,356,39,317,64,22,105,2,57,1612,25,103,28,251,0,417,554,4208,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379
2002,109,53,8,41,0,41,46,37,9,5,0,18,167,321,45,276,87,26,184,6,78,1139,37,232,67,210,0,490,1966,5290,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244
2002,84,93,4,46,0,46,67,54,13,12,0,23,209,542,68,474,46,39,157,4,58,1223,10,206,226,289,0,290,1612,5240,Andhra Pradesh,Nellore,13.894344071421887,80.14702671812498
2002,93,42,12,35,0,35,29,21,8,13,0,30,179,338,66,272,46,33,138,1,39,1934,17,71,24,278,0,274,791,4417,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035
2002,27,9,2,14,0,14,10,9,1,2,0,2,100,235,13,222,28,24,58,2,28,641,4,60,16,114,0,171,939,2486,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675
2002,28,22,1,12,0,12,9,0,9,3,0,3,105,171,0,171,9,13,51,0,6,471,1,38,25,190,0,147,1127,2432,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873
2002,131,72,11,52,0,52,72,58,14,7,0,20,245,413,56,357,240,41,175,5,0,1812,45,212,0,157,0,317,2370,6397,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509
2002,69,91,2,54,0,54,59,32,27,7,0,19,286,826,120,706,68,61,303,8,47,1116,12,223,73,447,0,445,1845,6061,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196
2002,9,4,1,3,0,3,5,2,3,2,0,5,18,25,0,25,0,4,8,0,2,26,0,0,0,2,0,0,66,180,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106
2002,14,2,0,3,0,3,5,3,2,6,0,5,12,24,0,24,0,1,2,2,1,50,0,8,0,0,0,0,34,169,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945
2002,3,3,1,3,0,3,10,6,4,7,0,42,66,94,38,56,0,4,3,1,1,51,0,9,1,1,0,0,83,383,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264
2002,0,0,1,1,0,1,0,0,0,0,0,0,3,13,2,11,1,1,1,2,0,2,0,0,1,1,0,0,17,44,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016
