Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs),State,District,Latitude,Longitude
25,2012 (2004),6,Madhya Pradesh,Datia,5353,10497,39.41,43.93,3258,5508,23.98,23.05,4973,7889,36.61,33.02,13584,23893,30,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574
25,2013 (2004),6,Madhya Pradesh,Datia,6360,14196,42.25,48.62,3353,6081,22.27,20.83,5341,8923,35.48,30.56,15054,29199,35,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574
26,2007 (2004),6,Madhya Pradesh,Morena,14863,17793,42.98,43.03,7779,9234,22.49,22.33,11943,14326,34.53,34.64,34584,41354,23,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
26,2008 (2004),6,Madhya Pradesh,Morena,17908,23971,44.0,45.03,9426,12068,23.16,22.67,13364,17193,32.84,32.3,40698,53231,29,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
26,2009 (2004),6,Madhya Pradesh,Morena,17884,26377,42.16,44.67,9928,13138,23.41,22.25,14604,19538,34.43,33.09,42415,59053,31,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
26,2010 (2004),6,Madhya Pradesh,Morena,18639,30636,40.96,44.06,10677,15138,23.46,21.77,16190,23763,35.58,34.17,45506,69536,36,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
26,2011 (2004),6,Madhya Pradesh,Morena,23276,41149,44.14,47.21,11771,17909,22.32,20.55,17691,28109,33.55,32.25,52738,87167,44,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
26,2012 (2004),6,Madhya Pradesh,Morena,29088,56979,48.04,51.75,12433,20137,20.53,18.29,19031,32982,31.43,29.96,60552,110097,55,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
26,2013 (2004),6,Madhya Pradesh,Morena,37699,84249,52.81,58.33,12783,21845,17.91,15.12,20906,38343,29.29,26.55,71388,144436,70,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724
27,2007 (2004),6,Madhya Pradesh,Bhind,9966,11934,41.25,41.48,5831,6921,24.13,24.06,8363,9915,34.62,34.46,24160,28770,18,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653
